idx_feat_u,x,y,idx_part_u,idx_vert_u,vert_type,idx_feat_f,dist_feat_f,d,az,iF,interface,linkL,linkR,lengthL,lengthR,segmentL,segmentR,azimuthL,azimuthR,newvar,newflamvar
1,-98541.0,-102271.0,1011,113,5,1,312.3587680856742,-1.0,-1.0,-1,0,0,0,9.848857801796104,8.54400374531753,-1,-1,203.96248897457812,20.556045219583464,245811.0,1
1,-98545.0,-102280.0,1011,114,5,1,314.9492022533158,-1.0,-1.0,-1,0,1,0,1.0,9.848857801796104,8,-1,180.0,23.962488974578186,245811.0,1
1,-98545.0,-102281.0,1011,115,4,1,314.81423093627774,317.57762384937104,105.94539590092322,1,1,1,1,1.0,1.0,8,9,180.0,0.0,245811.0,1
1,-98545.0,-102282.0,1011,116,5,1,314.6823795511913,-1.0,-1.0,-1,0,1,1,1.0,1.0,8,9,90.0,0.0,245811.0,1
1,-98544.0,-102282.0,1011,117,4,1,313.6909306945293,316.3413787738268,105.94539590092138,1,1,1,1,1.0,1.0,8,9,180.0,270.0,245811.0,1
1,-98544.0,-102283.0,1011,118,4,1,313.56179614232343,316.0666576459255,105.94539590092363,1,1,1,1,21.840329667841555,1.0,8,9,105.94539590092282,0.0,245811.0,1
1,-98523.0,-102289.0,1011,119,5,1,291.9863010485252,-1.0,-1.0,-1,0,0,1,13.92838827718412,21.840329667841555,-1,9,111.03751102542182,285.94539590092285,245811.0,1
1,-98510.0,-102294.0,1011,120,5,1,278.5139134765084,-1.0,-1.0,-1,0,0,0,5.0,13.92838827718412,-1,-1,126.86989764584402,291.0375110254218,245811.0,1
1,-98506.0,-102297.0,1011,121,5,1,274.23530042647684,-1.0,-1.0,-1,0,0,0,4.47213595499958,5.0,-1,-1,153.43494882292208,306.86989764584405,245811.0,1
1,-98504.0,-102301.0,1011,122,5,1,271.89152248645047,-1.0,-1.0,-1,0,0,0,8.246211251235321,4.47213595499958,-1,-1,165.96375653207355,333.434948822922,245811.0,1
1,-98502.0,-102309.0,1011,123,5,1,268.55539465815986,-1.0,-1.0,-1,0,0,0,9.0,8.246211251235321,-1,-1,180.0,345.96375653207355,245811.0,1
1,-98502.0,-102318.0,1011,124,5,1,266.3174797117155,-1.0,-1.0,-1,0,0,0,10.0,9.0,-1,-1,180.0,0.0,245811.0,1
1,-98502.0,-102328.0,1011,125,5,1,264.1685068285014,-1.0,-1.0,-1,0,0,0,1.0,10.0,-1,-1,180.0,0.0,245811.0,1
1,-98502.0,-102329.0,1011,126,5,1,263.97348351681086,-1.0,-1.0,-1,0,0,0,18.681541692269406,1.0,-1,-1,164.47588900324575,0.0,245811.0,1
1,-98497.0,-102347.0,1011,127,5,1,256.1347301714471,-1.0,-1.0,-1,0,0,0,15.264337522473747,18.681541692269406,-1,-1,238.39249775375112,344.4758890032457,245811.0,1
1,-98510.0,-102355.0,1011,128,5,1,268.1678578800972,-1.0,-1.0,-1,0,0,0,3.605551275463989,15.264337522473747,-1,-1,236.30993247402026,58.392497753751115,245811.0,1
1,-98513.0,-102357.0,1011,129,5,1,270.9778588741154,-1.0,-1.0,-1,0,0,0,1.0,3.605551275463989,-1,-1,180.0,56.309932474020194,245811.0,1
1,-98513.0,-102358.0,1011,130,5,1,270.6233544984616,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,270.0,0.0,245811.0,1
